ab_glyph	0.2.32	Apache-2.0
ab_glyph_rasterizer	0.1.10	Apache-2.0
accesskit	0.22.0	MIT OR Apache-2.0
accesskit_atspi_common	0.15.0	MIT OR Apache-2.0
accesskit_consumer	0.32.0	MIT OR Apache-2.0
accesskit_macos	0.23.0	MIT OR Apache-2.0
accesskit_unix	0.18.0	MIT OR Apache-2.0
accesskit_windows	0.30.0	MIT OR Apache-2.0
accesskit_winit	0.30.0	Apache-2.0
adler2	2.0.1	0BSD OR MIT OR Apache-2.0
ahash	0.8.12	MIT OR Apache-2.0
aho-corasick	1.1.4	Unlicense OR MIT
aligned	0.4.3	MIT OR Apache-2.0
aligned-vec	0.6.4	MIT
allocator-api2	0.2.21	MIT OR Apache-2.0
android-activity	0.6.1	MIT OR Apache-2.0
android-properties	0.2.2	MIT
android_system_properties	0.1.5	MIT/Apache-2.0
annotate-snippets	0.12.16	MIT OR Apache-2.0
anstyle	1.0.14	MIT OR Apache-2.0
anyhow	1.0.102	MIT OR Apache-2.0
arbitrary	1.4.2	MIT OR Apache-2.0
arboard	3.6.1	MIT OR Apache-2.0
arg_enum_proc_macro	0.3.4	MIT
arrayref	0.3.9	BSD-2-Clause
arrayvec	0.7.6	MIT OR Apache-2.0
as-raw-xcb-connection	1.0.1	MIT OR Apache-2.0
as-slice	0.2.1	MIT OR Apache-2.0
async-broadcast	0.7.2	MIT OR Apache-2.0
async-channel	2.5.0	Apache-2.0 OR MIT
async-executor	1.14.0	Apache-2.0 OR MIT
async-io	2.6.0	Apache-2.0 OR MIT
async-lock	3.4.2	Apache-2.0 OR MIT
async-process	2.5.0	Apache-2.0 OR MIT
async-recursion	1.1.1	MIT OR Apache-2.0
async-signal	0.2.14	Apache-2.0 OR MIT
async-task	4.7.1	Apache-2.0 OR MIT
async-trait	0.1.89	MIT OR Apache-2.0
atomic-waker	1.1.2	Apache-2.0 OR MIT
atspi	0.29.0	Apache-2.0 OR MIT
atspi-common	0.13.0	Apache-2.0 OR MIT
atspi-proxies	0.13.0	Apache-2.0 OR MIT
auto_enums	0.8.8	Apache-2.0 OR MIT
autocfg	1.5.1	Apache-2.0 OR MIT
av-scenechange	0.14.1	MIT
av1-grain	0.2.5	BSD-2-Clause
avif-serialize	0.8.9	BSD-3-Clause
base64	0.22.1	MIT OR Apache-2.0
bincode	1.3.3	MIT
bindgen	0.72.1	BSD-3-Clause
bit-set	0.8.0	Apache-2.0 OR MIT
bit-vec	0.8.0	Apache-2.0 OR MIT
bit_field	0.10.3	Apache-2.0/MIT
bitflags	1.3.2	MIT/Apache-2.0
bitflags	2.12.1	MIT OR Apache-2.0
bitstream-io	4.10.0	MIT/Apache-2.0
